lauf#	pi_Wert
6350000	3.1417858267716534
6360000	3.1418188679245285
6370000	3.141795290423862
6380000	3.1417799373040753
6390000	3.1417683881064162
6400000	3.14174125
6410000	3.1417566302652107
6420000	3.1417520249221185
6430000	3.141745567651633
6440000	3.1417136645962733
6450000	3.1417184496124033
6460000	3.1417089783281735
6470000	3.1417020092735704
6480000	3.1417
6490000	3.141786132511556
6500000	3.1417563076923076
6510000	3.1417910906298
6520000	3.1417582822085888
6530000	3.1417096477794795
6540000	3.1416752293577983
6550000	3.1416158778625953
6560000	3.141565243902439
6570000	3.141573211567732
6580000	3.141588449848024
6590000	3.1415799696509863
6600000	3.14158303030303
6610000	3.141595158850227
6620000	3.141600604229607
6630000	3.1416090497737557
6640000	3.1415765060240965
6650000	3.1415536842105265
6660000	3.141568168168168
6670000	3.1415796101949027
6680000	3.1415640718562874
6690000	3.141571898355755
6700000	3.1415564179104476
6710000	3.1415475409836064
6720000	3.1416053571428573
6730000	3.1416095096582466
6740000	3.1415910979228485
6750000	3.141615407407407
6760000	3.1415905325443787
6770000	3.1416200886262926
6780000	3.1416330383480826
6790000	3.14159587628866
